Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-May-2024,30-May-2024,CE,20050.00,2697.60,2697.60,2682.00,2682.00,2682.00,2706.50,2.00,11.37,1.34,31450.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20100.00,2589.75,2670.00,2589.75,2648.95,2655.00,2648.95,79.00,449.21,52.23,255900.00,425.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20150.00,-,-,-,2544.80,2551.20,2607.15,-,-,-,450.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20200.00,2530.25,2573.90,2530.25,2553.90,2546.15,2553.90,22.00,125.11,14.01,31500.00,400.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20250.00,-,-,-,2500.00,2500.00,2507.80,-,-,-,950.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20300.00,2465.00,2465.00,2450.00,2450.00,2450.00,2458.20,4.00,22.75,2.45,6525.00,50.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20350.00,-,-,-,2349.10,2349.95,2408.55,-,-,-,450.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20400.00,2315.00,2357.00,2315.00,2355.00,2355.00,2358.95,13.00,73.94,7.64,14800.00,275.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20450.00,-,-,-,2210.70,2210.55,2309.40,-,-,-,350.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20500.00,2212.00,2285.00,2210.00,2262.30,2263.05,2262.30,374.00,2127.72,210.97,634850.00,-2025.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20550.00,-,-,-,2060.00,2060.00,2210.35,-,-,-,525.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20600.00,2150.00,2180.00,2145.00,2150.00,2150.00,2160.90,31.00,176.35,16.70,8900.00,-25.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20650.00,-,-,-,2061.10,2061.10,2111.50,-,-,-,950.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20700.00,-,-,-,2110.00,2110.00,2062.20,-,-,-,6400.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20750.00,2040.00,2040.00,2040.00,2040.00,2040.00,2012.90,2.00,11.39,1.02,500.00,50.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20800.00,1962.00,1962.00,1962.00,1962.00,1962.00,1963.75,1.00,5.69,0.49,46150.00,-25.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20850.00,-,-,-,1867.90,1867.90,1914.65,-,-,-,400.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20900.00,1850.00,1875.00,1850.00,1875.00,1875.00,1865.65,6.00,34.14,2.79,12975.00,50.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,20950.00,-,-,-,1770.00,1770.00,1816.80,-,-,-,700.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21000.00,1749.95,1808.00,1720.00,1776.25,1781.50,1776.25,1031.00,5869.90,457.15,525875.00,8250.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21050.00,-,-,-,1649.85,1649.85,1719.50,-,-,-,450.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21100.00,1680.00,1703.60,1680.00,1693.80,1688.45,1693.80,19.00,108.27,8.04,9975.00,350.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21150.00,-,-,-,1537.95,1537.95,1622.90,-,-,-,300.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21200.00,1551.35,1605.40,1520.25,1576.50,1578.55,1576.50,245.00,1395.12,96.62,27675.00,4150.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21250.00,1507.75,1507.75,1507.75,1507.75,1507.75,1527.20,2.00,11.38,0.75,1275.00,50.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21300.00,1500.00,1505.00,1500.00,1505.00,1505.00,1479.70,24.00,136.83,9.03,11900.00,550.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21350.00,1445.00,1460.00,1445.00,1460.00,1460.00,1432.55,2.00,11.40,0.73,600.00,50.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21400.00,1368.30,1437.30,1355.00,1382.35,1382.35,1382.35,29.00,165.20,10.05,25950.00,150.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21450.00,1376.50,1376.50,1376.50,1376.50,1376.50,1339.20,4.00,22.83,1.38,1175.00,100.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21500.00,1262.35,1335.70,1250.00,1305.05,1303.05,1305.05,1781.00,10150.54,577.67,342450.00,10000.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21550.00,-,-,-,1301.00,1301.00,1247.40,-,-,-,3650.00,-,22648.20
