Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-May-2024,30-May-2024,PE,20050.00,7.55,7.95,5.70,6.15,5.70,6.15,1181.00,5921.79,2.02,113950.00,500.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20100.00,7.25,7.60,5.45,5.80,5.65,5.80,6331.00,31823.27,9.99,836300.00,-17600.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20150.00,7.20,8.45,5.70,5.80,6.45,5.80,79.00,398.10,0.13,8650.00,675.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20200.00,8.05,8.30,5.50,6.00,6.20,6.00,2463.00,12442.40,4.25,111350.00,-6900.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20250.00,8.50,8.50,5.65,5.90,5.65,5.90,279.00,1412.91,0.47,39800.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20300.00,8.25,8.55,5.15,5.95,5.85,5.95,3720.00,18885.33,6.33,175800.00,-8125.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20350.00,10.30,11.70,5.30,5.95,6.50,5.95,70.00,356.27,0.14,6050.00,1025.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20400.00,8.85,9.60,6.70,7.05,6.90,7.05,2803.00,14300.92,5.62,164750.00,-5125.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20450.00,10.25,11.90,6.65,7.15,7.45,7.15,295.00,1508.85,0.67,7275.00,3100.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20500.00,12.05,12.05,8.15,8.60,8.45,8.60,25260.00,129519.64,62.14,1547275.00,-55550.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20550.00,12.80,12.80,8.05,9.25,8.05,9.25,330.00,1696.23,0.85,25525.00,1075.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20600.00,10.20,14.40,9.15,9.80,9.40,9.80,4366.00,22497.10,12.20,107550.00,20775.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20650.00,14.35,14.35,10.00,10.70,10.35,10.70,505.00,2608.51,1.45,32075.00,1700.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20700.00,17.10,17.10,10.20,11.35,10.90,11.35,7031.00,36407.07,21.65,170875.00,5950.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20750.00,16.35,18.35,11.25,12.05,11.60,12.05,469.00,2434.40,1.46,22825.00,-750.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20800.00,15.80,17.30,11.50,12.65,12.40,12.65,12592.00,65521.46,43.06,345500.00,73025.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20850.00,18.70,18.70,13.50,13.95,13.70,13.95,461.00,2404.70,1.74,11700.00,2350.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20900.00,19.30,22.20,14.40,15.15,15.10,15.15,13967.00,73035.55,57.98,278650.00,66450.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,20950.00,20.05,21.55,15.90,16.45,16.30,16.45,1501.00,7868.38,6.89,22950.00,3600.00,22648.20
NIFTY,02-May-2024,30-May-2024,PE,21000.00,27.30,27.30,18.20,18.85,18.20,18.85,48606.00,255433.89,252.39,3164500.00,69200.00,22648.20
